MappedinID,AreaListID_23,AreaListID_25,ChangedColumns,Name_23,Name_25,VN_23,VN_25,EN_23,EN_25,ZH_23,ZH_25,JA_23,JA_25,KO_23,KO_25
e_5818d1a4752bf6a4,1695,1695,Name,e_5818d1a4752bf6a4,N,N,N,N,N,,,,,,
e_592d40f0192a08f7,1014,1014,Name,e_592d40f0192a08f7,N,N,N,N,N,,,,,,
e_59be394faeb418ab,1650,1650,Name,e_59be394faeb418ab,N,N,N,N,N,,,,,,
e_59c75bac4185c2c8,946,946,Name,e_59c75bac4185c2c8,N,N,N,N,N,,,,,,
e_59d45edc2c747412,792,792,Name,e_59d45edc2c747412,N,N,N,N,N,,,,,,
e_5a4a1effd114f217,1171,1171,Name,e_5a4a1effd114f217,N,N,N,N,N,,,,,,
e_5a6c775dcdba0312,1674,1674,Name,e_5a6c775dcdba0312,N,N,N,N,N,,,,,,
e_5afec3beefa61857,935,935,Name,e_5afec3beefa61857,N,N,N,N,N,,,,,,
e_5b14d2c377649437,976,976,Name,e_5b14d2c377649437,N,N,N,N,N,,,,,,
e_5b6e6c9e9608259a,808,808,Name,e_5b6e6c9e9608259a,N,N,N,N,N,,,,,,
e_5bf1946e36521a90,1802,1802,Name,e_5bf1946e36521a90,N,N,N,N,N,,,,,,
e_5c8f0b7fa20a8e67,1801,1801,Name,e_5c8f0b7fa20a8e67,N,N,N,N,N,,,,,,
e_5d1fec5f929550d3,902,902,Name,e_5d1fec5f929550d3,N,N,N,N,N,,,,,,
e_5e90a5103dc3b6d0,1209,1209,Name,e_5e90a5103dc3b6d0,N,N,N,N,N,,,,,,
e_5ec68e6e78ea2e0b,1728,1728,Name,e_5ec68e6e78ea2e0b,N,N,N,N,N,,,,,,
e_5eec873ee28c68af,950,950,Name,e_5eec873ee28c68af,N,N,N,N,N,,,,,,
e_5f55274f056abdd8,1185,1185,Name,e_5f55274f056abdd8,N,N,N,N,N,,,,,,
e_5facc43d9c9e2882,1694,1694,Name,e_5facc43d9c9e2882,N,N,N,N,N,,,,,,
e_601d14642492c96e,1666,1666,Name,e_601d14642492c96e,N,N,N,N,N,,,,,,
e_606ce69e9f74bad5,1734,1734,Name,e_606ce69e9f74bad5,N,N,N,N,N,,,,,,
e_60ad9d550bb23145,1588,1588,Name,e_60ad9d550bb23145,N,N,N,N,N,,,,,,
e_60b454d8d98f11e2,1094,1094,Name,e_60b454d8d98f11e2,N,N,N,N,N,,,,,,
e_61329ff701a5d739,2372,2372,Name,e_61329ff701a5d739,N,N,N,N,N,,,,,,
e_616936f02544f187,1756,1756,Name,e_616936f02544f187,N,N,N,N,N,,,,,,
e_618926b59fdc68a3,1218,1218,Name,e_618926b59fdc68a3,N,N,N,N,N,,,,,,
